playerID,yearID,lgID,POS,gold_glove
pintore02,2022,AL,C,1
kangju01,2019,NL,SS,1
cabreas01,2020,NL,1B,1
wolfja01,2023,NL,P,1
huffmch01,2017,NL,OF,1
dendema01,2016,NL,OF,1
guilllu01,2021,NL,2B,1
dietrde01,2015,NL,3B,1
barneda02,2017,AL,P,1
gonzaal04,2018,AL,C,1
straida01,2017,NL,P,1
garcilu03,2022,NL,P,1
grichra01,2017,NL,OF,1
kendrho01,2014,AL,2B,1
raleylu01,2022,AL,OF,1
contrwi01,2017,NL,1B,1
forsylo01,2020,NL,1B,1
garcijo02,2023,NL,OF,1
thorple01,2019,AL,P,1
profaju01,2017,AL,1B,1
vizcaar01,2019,NL,P,1
boltsk01,2021,NL,OF,1
ciriape01,2014,AL,2B,1
fieldpr01,2016,AL,1B,1
wantzan01,2022,AL,P,1
diazya01,2021,AL,3B,1
kimkw01,2020,NL,P,1
odayda01,2022,NL,P,1
adamsma01,2015,NL,1B,1
gallayo01,2014,NL,P,1
hamelco01,2019,NL,P,1
romerfe01,2019,AL,P,1
farmeky01,2022,NL,3B,1
morsemi01,2015,NL,OF,1
weemsjo01,2020,AL,P,1
alvarrj01,2022,NL,P,1
brantmi02,2018,AL,OF,1
hallma02,2020,AL,P,1
ravinjo01,2018,NL,P,1
cozarza01,2014,NL,SS,1
valerbr01,2018,AL,2B,1
wietema01,2019,NL,C,1
thaisma01,2019,AL,3B,1
lemahdj01,2021,AL,1B,1
villada01,2022,NL,3B,1
edenca01,2023,AL,OF,1
rondojo02,2021,NL,3B,1
kellydo01,2014,AL,1B,1
altheaa01,2019,NL,OF,2
camarda01,2021,NL,P,1
machaan02,2022,NL,P,1
piscost01,2015,NL,OF,1
beckhti01,2017,AL,SS,2
velasvi01,2021,NL,P,2
buchhcl01,2015,AL,P,1
nunezed02,2014,AL,SS,1
barnhtu01,2017,NL,C,1
culbech01,2022,AL,P,1
fowlede01,2019,NL,OF,1
blackra01,2018,NL,P,1
battema01,2023,NL,1B,1
canhama01,2020,AL,1B,1
erlinro01,2022,NL,P,1
parkho01,2021,AL,OF,1
sadleca02,2019,AL,P,1
tatisfe02,2021,NL,SS,1
torreca01,2019,AL,P,1
wongja01,2023,NL,P,1
hicksjo02,2019,AL,C,1
woodbl01,2017,AL,P,1
yelicch01,2015,NL,OF,1
suterbr01,2018,NL,P,1
mauerjo01,2016,AL,1B,1
smylydr01,2015,AL,P,1
webbty01,2020,NL,P,1
iglesra01,2016,NL,P,1
sandsco01,2023,AL,P,1
bickfph01,2022,NL,P,1
solando01,2014,NL,2B,1
happja01,2017,AL,P,1
braymbe01,2020,NL,P,1
plutkad01,2016,AL,P,1
hedgeau01,2020,NL,C,1
pattosp01,2016,NL,OF,1
howarsp01,2021,NL,P,1
wallabr01,2016,NL,1B,1
glennbr01,2014,AL,OF,1
vargail01,2021,NL,3B,2
adamsla01,2018,NL,OF,1
coghlch01,2015,NL,2B,1
martiru01,2018,AL,SS,1
chargjt01,2016,AL,P,1
scottro02,2019,NL,P,1
alberha01,2023,AL,2B,1
axforjo01,2016,AL,P,1
minayju01,2018,AL,P,1
mcclare01,2019,AL,P,1
jimenjo02,2021,AL,P,1
germego01,2016,NL,P,1
vothau01,2019,NL,P,1
severlu01,2022,AL,P,1
cruzje01,2022,NL,P,1
lopezyo01,2021,NL,P,1
wadety01,2018,AL,OF,1
saladty01,2019,NL,3B,1
stefami01,2023,AL,3B,1
slateau01,2023,NL,OF,1
grayjo03,2021,NL,P,2
buehlwa01,2020,NL,P,1
iglesra01,2020,NL,P,1
carraca01,2016,AL,P,1
taylobl01,2022,AL,P,1
lemahdj01,2019,AL,2B,1
alcanar01,2015,NL,2B,1
ceasedy01,2020,AL,P,1
belljo02,2016,NL,OF,1
ruggiju01,2015,AL,OF,1
carpeda01,2019,AL,P,1
leeda02,2016,AL,1B,1
ohse01,2018,AL,P,1
richaga01,2021,AL,P,1
sanchan01,2014,AL,P,1
hellije01,2015,NL,P,1
gimench01,2017,AL,C,1
gomezca01,2014,NL,OF,1
honeybr01,2023,AL,P,1
ferrejo01,2023,NL,P,1
ascheco01,2017,AL,3B,1
geedi01,2015,NL,P,1
rendoan01,2015,NL,3B,1
rufda01,2015,NL,1B,1
sogarer01,2021,NL,3B,1
alvarda01,2017,AL,P,1
stewadj01,2021,AL,OF,1
gilmase01,2017,NL,P,1
rominan01,2017,AL,1B,1
albural01,2016,AL,P,1
romanjo03,2022,AL,P,1
tropeni01,2018,AL,P,1
tropeni01,2020,NL,P,1
waltodo01,2019,AL,SS,1
civalaa01,2021,AL,P,1
buschmi02,2023,NL,OF,1
jonesry01,2017,NL,3B,1
breweco01,2021,AL,P,1
jasojo01,2017,NL,1B,1
hendegu01,2023,AL,3B,1
hutchdr01,2021,AL,P,1
pachejo01,2015,NL,1B,1
oflaher01,2016,NL,P,1
zobribe01,2014,AL,SS,1
miranjo01,2022,AL,1B,1
norribu01,2017,AL,P,1
hunteto02,2017,AL,P,1
walteza01,2015,AL,OF,1
lopezpa01,2021,NL,P,1
gurkaja01,2016,NL,P,1
moustmi01,2018,AL,1B,1
mcdonjo03,2014,AL,2B,1
reyesde02,2023,NL,P,1
barneto01,2019,NL,P,1
degroja01,2021,NL,P,1
freemmi01,2017,AL,1B,1
gombeau01,2021,NL,P,1
francje01,2015,AL,P,1
jonesja07,2021,AL,OF,1
neusesh01,2021,NL,OF,1
brookaa01,2015,AL,P,2
millety01,2023,NL,P,4
martile01,2019,AL,OF,1
vazquch01,2014,AL,C,1
wentzjo01,2023,AL,P,1
petitgr01,2016,AL,2B,1
sanchad01,2017,NL,3B,1
webbja01,2019,NL,P,1
waiteco01,2022,NL,P,1
francty01,2021,AL,3B,1
noonani01,2015,NL,SS,1
oswalco01,2018,NL,P,1
olsonma02,2022,NL,1B,1
clemeko01,2023,NL,OF,1
